Name_EN,Address_EN,Latitude,Longitude,Facility_Type
SEE YAN HOME FOR AGED (FIRST BRANCH),"67 & 69 G/F, 63-71 1/F, FLATS 3 AND 4 2/F, SOUTH WALL MANSION, 63-71 SOUTH WALL ROAD, KOWLOON",22.33028106,114.19082292,LocationofResidentialCareHomesfortheElderlyinHongKong
"ELCHK, SERENE COURT","G/F, UG/F AND 1/F, 12 HOI FAI ROAD, KOWLOON",22.31833777,114.15624304,LocationofResidentialCareHomesfortheElderlyinHongKong
CYPRESS GARDEN (NGAU TAU KOK) ELDERLY HOME COMPANY LIMITED,"2/F & 3/F, 177-181 NGAU TAU KOK ROAD, KWUN TONG, KOWLOON",22.32238404,114.21665997,LocationofResidentialCareHomesfortheElderlyinHongKong
LOK SIN KUI (CARING FOUNDATION) ELDERLY CARE LIMITED,"SHOP 4 (PORTION) ON G/F, 1/F AND 2/F, TAK ON MANSION, 3-11 PINE STREET, TAI KOK TSUI, KOWLOON",22.32037458,114.16375179,LocationofResidentialCareHomesfortheElderlyinHongKong
KAI YIP HOME FOR AGED LIMITED,"SHOP NO. 15 ON G/F, AND M/F AND 1/F, KAI YIP SHOPPING CENTRE, KAI YIP ESTATE, KOWLOON BAY, KOWLOON",22.32913142,114.2098187,LocationofResidentialCareHomesfortheElderlyinHongKong
EVERGREEN (ON TAI) NURSING HOME CUM DAY CARE CENTRE,"1/F (PORTION) AND 2/F (PORTION), ON TAI ESTATE ANCILLARY FACILITIES BLOCK, 23 ON SAU ROAD, KWUN TONG, KOWLOON",22.32556764,114.23111369,LocationofResidentialCareHomesfortheElderlyinHongKong
LONGEVITY (COMPREHENSIVE HEALTHCARE) FOR THE SENIORS,"SHOP 11 OF G/F AND 1/F, TAK CHEUNG BUILDING, LOT 4177, DD 124, YUEN LONG, NEW TERRITORIES",22.4327399,113.99583016,LocationofResidentialCareHomesfortheElderlyinHongKong
THE SALVATION ARMY HOI TAI RESIDENCE FOR SENIOR CITIZENS [RCHE] / THE SALVATION ARMY MONGKOK COMMUNITY CARE SERVICE VOUCHER SCHEME FOR THE ELDERLY [CCSV RSP],"2/F, HOI TAI HOUSE, HOI FU COURT, HOI TING ROAD, MONGKOK WEST, KOWLOON",22.31654317,114.16530479,LocationofResidentialCareHomesfortheElderlyinHongKong
SUM YAT ELDERLY HOME,"FLATS A, B, C AND D, 2/F, KINGLAND APARTMENTS, 739 NATHAN ROAD, MONG KOK, KOWLOON",22.32176894,114.16864875,LocationofResidentialCareHomesfortheElderlyinHongKong
HIU KWONG (TAK YUE) NURSING CENTRE,"PORTION OF G/F, AND 1/F TO 4/F, 376-378 SHANGHAI STREET, KOWLOON",22.31355042,114.16914767,LocationofResidentialCareHomesfortheElderlyinHongKong
TREASURE CARE PALACE,"4/F TO 6/F AND PENTHOUSE,BEL SHINE CENTRE, 23 TAK KU LING ROAD, KOWLOON CITY, KOWLOON",22.32903792,114.19132986,LocationofResidentialCareHomesfortheElderlyinHongKong
ON HONG HOME FOR AGED LIMITED,"G/F, LOT 302C(5)-C(7) AND LOT 2097 IN DD 117 (ALSO KNOWN AS G/F, A1-A2 AND B3-B4, TAI TONG VILLA) AND LOT 311C, D AND LOT 346B RP IN DD 117 (ALSO KNOWN AS 4-5 SAN TSUEN LAU, SHUI TSIU SAN TSUEN, TAI TONG ROAD), YUEN LONG, NEW TERRITORIES",22.42241107,114.03007526,LocationofResidentialCareHomesfortheElderlyinHongKong
ETERNAL ELDERLY HOME (2ND HOME),"2/F, SHUI FUNG BUILDING, 9 TEMPLE STREET, YAUMATEI, KOWLOON",22.31147982,114.1699738,LocationofResidentialCareHomesfortheElderlyinHongKong
LONG KIND HOUSE,"ENTRANCE OF G/F, AND 1/F, PO WAI BUILDING, 59 TO 67 BULKELEY STREET, HUNG HOM, KOWLOON",22.30676572,114.18616213,LocationofResidentialCareHomesfortheElderlyinHongKong
KONG SHING HOME FOR THE AGED LIMITED,"FRONT PORTION OF SHOP A ON G/F, AND 1/F AND 2/F, 373-379 CASTLE PEAK ROAD, KOWLOON",22.33882319,114.15552798,LocationofResidentialCareHomesfortheElderlyinHongKong
PINE CARE (PO TAK) ELDERLY CENTRE,"SHOP 10 G/F, 1/F & 2/F, WIN FONG HEIGHTS, 180 HING FONG ROAD, KWAI CHUNG, NEW TERRITORIES",22.35965074,114.12801992,LocationofResidentialCareHomesfortheElderlyinHongKong
HARMONY HOME FOR THE ELDERLY,"1/F, KWAI FUNG HOUSE, NO.5 & 11 PING LAI PATH & NO.47 TA CHUEN PING STREET, KWAI CHUNG, NEW TERRITORIES",22.36753644,114.13532827,LocationofResidentialCareHomesfortheElderlyinHongKong
YI YEUNG OLD MAN'S HOME,"1/F & 2/F, LEE KONG COMMERCIAL BUILDING, 115 WOOSUNG STREET, KOWLOON",22.30576346,114.17010995,LocationofResidentialCareHomesfortheElderlyinHongKong
THE PERFECT HARMONY HOME FOR THE ELDERLY LIMITED,"FLATS A-F, 2/F, TIN PO BUILDING, 74 HAU TEI SQUARE, TSUEN WAN, NEW TERRITORIES",22.37107897,114.1150634,LocationofResidentialCareHomesfortheElderlyinHongKong
