Name_EN,Address_EN,Latitude,Longitude,Facility_Type
North District Student Health Service Centre,"9/F North District Community Health Centre Building, 3 Wai Wo Street, Sheung Shui, New Territories",22.49847461,114.12755258,ClinicsHealthCentresundertheDepartmentofHealth
Yuen Long Student Health Service Centre,"1/F Yuen Long Jockey Club Health Centre, 269 Castle Peak Road, Yuen Long",22.44560048,114.02316812,ClinicsHealthCentresundertheDepartmentofHealth
Lady Trench Methadone Clinic,"213 Sha Tsui Road, Tsuen Wan",22.37055568,114.1155394,ClinicsHealthCentresundertheDepartmentofHealth
Yuen Long Government Offices Dental Clinic,"1F, Yuen Long Government Offices,2 Kiu Lok Square,Yuen Long, New Territories",22.44526695,114.0272183,ClinicsHealthCentresundertheDepartmentofHealth
Tuen Mun Wu Hong Elderly Health Centre,"G/F Tuen Mun Wu Hong Health Centre, 2 Wu Hong Street, Tuen Mun, NT",22.37715012,113.96712969,ClinicsHealthCentresundertheDepartmentofHealth
Yuen Chau Kok Chest Clinic,"29 Chap Wai Kon Street, Sha Tin, New Territories",22.38247667,114.20150951,ClinicsHealthCentresundertheDepartmentofHealth
Pamela Youde Child Assessment Centre (Shatin),"2/F, 31-33 Chap Wai Kon Street, Sha Tin, N.T.",22.3817632,114.20187837,ClinicsHealthCentresundertheDepartmentofHealth
Pamela Youde School Dental Clinic,"1/F, 31-33, Chap Wai Kon Street,Yuen Chau Kok, Shatin, NT",22.3817632,114.20187837,ClinicsHealthCentresundertheDepartmentofHealth
Cheung Chau Methadone Clinic,"1/F, Out-patient Department Block, St. John Hospital, Cheung Chau Hospital Road, Tung Wan, Cheung Chau",22.20822141,114.0311186,ClinicsHealthCentresundertheDepartmentofHealth
Yau Ma Tei Methadone Clinic,"145 Battery Street, Yau Ma Tei",22.30967269,114.16928035,ClinicsHealthCentresundertheDepartmentofHealth
Cheung Chau Dental Clinic,"2/F, Out-patient Department Block, St. John Hospital,Cheung Chau Hospital Road,Tung Wan, Cheung Chau",22.2082217,114.03111861,ClinicsHealthCentresundertheDepartmentofHealth
Cheung Chau Chest Clinic,"G/F, Out-patient Department Block, St. John Hospital, Cheung Chau Hospital Road, Tung Wan, Cheung Chau, New Territories",22.2082217,114.03111861,ClinicsHealthCentresundertheDepartmentofHealth
Ngau Tau Kok Child Assessment Centre,"1/F, Ngau Tau Kok Jockey Club Clinic, 60 Ting On Street, Ngau Tau Kok, Kln.",22.31705197,114.2169533,ClinicsHealthCentresundertheDepartmentofHealth
Pamela Youde Child Assessment Centre (Kwun Tong),"3/F, 79 Cha Kwo Ling Road, Kwun Tong, Kowloon.",22.30773324,114.22886491,ClinicsHealthCentresundertheDepartmentofHealth
Fanling Child Assessment Centre,"4/F, Fanling Health Centre, 2 Pik Fung Road, Fanling, N.T.",22.49654684,114.13878847,ClinicsHealthCentresundertheDepartmentofHealth
Ha Kwai Chung Child Assessment Centre,"2/F, Ha Kwai Chung Polyclinic & Special Education Services Centre, 77 Lai Cho Road, Kwai Chung, N.T.",22.35242659,114.12801273,ClinicsHealthCentresundertheDepartmentofHealth
Central Kowloon Child Asessment Centre,"2/F, 147L Argyle Street, Kowloon City, Kowloon.",22.32543238,114.1839212,ClinicsHealthCentresundertheDepartmentofHealth
Tuen Mun Child Assessment Centre,"G/F, Special Block, Tuen Mun Hospital, Tsing Chung Koon Road, Tuen Mun, N.T.",22.40827229,113.97675625,ClinicsHealthCentresundertheDepartmentofHealth
Yuen Long Chest Clinic,"G/F, Yuen Long Jockey Club Health Centre, 269 Castle Peak Road-Yuen Long, Yuen Long, New Territories",22.44560077,114.02316812,ClinicsHealthCentresundertheDepartmentofHealth
