Name,Type,District,Lat_WGS84,Lon_WGS84,Easting_HK1980,Northing_HK1980
Lam Tin Elderly Health Centre,Clinics / Health Centres under the Department of Health,KWUN TONG,22.30838872,114.2394924,842716.2000000002,818842.5999999996
Kwai Shing Elderly Health Centre,Clinics / Health Centres under the Department of Health,KWAI TSING,22.36541216,114.1268528,831126.5999999996,825145.0
Tang Shiu Kin School Dental Clinic 5/F,Clinics / Health Centres under the Department of Health,WAN CHAI,22.27506878,114.1784559,836432.0999999996,815139.5999999996
Tang Shiu Kin School Dental Clinic 1/F,Clinics / Health Centres under the Department of Health,WAN CHAI,22.27506878,114.1784559,836434.9000000004,815135.4000000004
Tang Shiu Kin School Dental Clinic 2/F,Clinics / Health Centres under the Department of Health,WAN CHAI,22.27506878,114.1784559,836434.9000000004,815135.4000000004
Kowloon Chest Clinic,Clinics / Health Centres under the Department of Health,KOWLOON CITY,22.32193769,114.1783497,836420.0,820325.0
Tai Po Chest Clinic,Clinics / Health Centres under the Department of Health,TAI PO,22.45401767,114.1657698,835125.0,834951.0
Pneumoconiosis Clinic,Clinics / Health Centres under the Department of Health,EASTERN,22.27648746,114.2283391,841572.0,815293.0
Yaumati Chest Clinic,Clinics / Health Centres under the Department of Health,YAU TSIM MONG,22.30961978,114.1692654,835484.0,818961.0
Radio-diagnostic & Imaging Centre (Kowloon Bay),Clinics / Health Centres under the Department of Health,KWUN TONG,22.32862653,114.2071007,839382.0,821066.0
South Kwai Chung Chest Clinic,Clinics / Health Centres under the Department of Health,KWAI TSING,22.36103196,114.1256214,830989.0,824655.0
Tung Chung Chest Clinic,Clinics / Health Centres under the Department of Health,ISLANDS,22.28885346,113.9435261,812221.0,816680.0
Yan Oi Chest Clinic,Clinics / Health Centres under the Department of Health,TUEN MUN,22.3912257,113.9791404,815906.0,828011.0
Sheung Shui Chest Clinic,Clinics / Health Centres under the Department of Health,NORTH,22.50530378,114.1292421,831367.0,840631.0
Lek Yuen Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,SHA TIN,22.38377826,114.1918187,837807.0,827173.0
Tseung Kwan O Po Ning Road Maternal & Child Health Centre,Clinics / Health Centres under the Department of Health,SAI KUNG,22.31778511,114.2679444,845651.0,819868.0
